hidden_dims,dropouts,rank,batch_size,learning_rate,factor_lr,weight_decay,post_text_dim,post_audio_dim,post_video_dim,post_dropouts,M,T,A,V,text_weight_decay,audio_weight_decay,video_weight_decay,MAE,Corr,Mult_acc_5,Mult_acc_3,Mult_acc_2,F1_score
"(128, 16, 128)","(0.3, 0.3, 0.3, 0.3)",5,128,0.002,0.0001,0.001,32,5,8,"(0.5, 0.5, 0.5)",0.8,0.4,0.0,0.0,0.001,0.001,0.001,43.34,60.67,36.41,63.85,80.0,80.28
"(128, 32, 128)","(0.4, 0.4, 0.4, 0.4)",3,32,0.0005,0.0001,0.005,32,5,8,"(0.4, 0.4, 0.4)",1.0,0.6,1.0,1.0,1e-05,1e-05,1e-05,43.59,57.45,38.25,62.45,79.34,79.63
"(128, 32, 128)","(0.2, 0.2, 0.2, 0.2)",5,32,0.0005,0.0001,0.0001,16,4,64,"(0.4, 0.4, 0.4)",0.6,1.0,0.0,0.2,0.001,0.0001,0.0,44.34,59.5,34.14,65.12,80.09,80.55
"(64, 16, 64)","(0.3, 0.3, 0.3, 0.3)",5,128,0.001,0.001,0.0001,32,5,16,"(0.5, 0.5, 0.5)",1.0,0.4,0.2,0.8,0.0,1e-05,1e-05,43.74,59.82,36.54,64.6,78.29,78.53
"(64, 32, 64)","(0.4, 0.4, 0.4, 0.4)",6,64,0.0005,0.0001,0.0001,8,4,16,"(0.2, 0.2, 0.2)",0.4,0.6,1.0,1.0,0.0001,0.001,0.0001,42.99,61.29,38.12,65.86,79.69,80.03
"(64, 32, 64)","(0.3, 0.3, 0.3, 0.3)",5,64,0.002,0.0005,0.005,8,4,16,"(0.4, 0.4, 0.4)",0.6,0.8,0.8,0.8,0.001,0.0001,0.0,44.35,60.38,34.62,64.55,79.08,79.79
"(128, 32, 128)","(0.4, 0.4, 0.4, 0.4)",3,32,0.001,0.001,0.005,16,5,8,"(0.2, 0.2, 0.2)",1.0,0.0,0.8,1.0,0.001,0.0001,0.0001,45.38,59.4,33.52,62.36,78.21,78.76
"(128, 32, 128)","(0.3, 0.3, 0.3, 0.3)",3,64,0.0005,0.0005,0.001,8,5,64,"(0.2, 0.2, 0.2)",0.2,0.2,0.8,1.0,1e-05,1e-05,0.0,41.85,61.9,39.96,66.48,79.56,79.91
"(256, 32, 256)","(0.2, 0.2, 0.2, 0.2)",5,32,0.001,0.0005,0.0001,32,4,32,"(0.4, 0.4, 0.4)",0.2,0.0,0.8,0.4,1e-05,1e-05,1e-05,42.44,64.02,36.24,64.77,80.7,81.41
"(128, 32, 128)","(0.2, 0.2, 0.2, 0.2)",4,128,0.005,0.001,0.0001,32,4,32,"(0.2, 0.2, 0.2)",1.0,0.2,1.0,0.2,0.0001,0.001,0.0,44.39,58.52,36.02,64.33,78.82,79.72
"(256, 32, 256)","(0.3, 0.3, 0.3, 0.3)",4,32,0.0005,0.0005,0.0001,16,5,8,"(0.4, 0.4, 0.4)",0.4,0.4,0.6,0.6,0.001,1e-05,1e-05,50.74,48.4,25.38,59.04,75.58,77.32
